reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,What would be the outcome if electrons and protons had different charges magnitude?
Is allosteric inhibitor non-competitive or competitive?,What type of inhibitor binding at an allosteric site would allow the substrate to still bind to the active site?
Why does body make more lactose?,What triggers the production of enzymes required for lactose metabolism?
Then why does entropy not mean messy?,What are the states being summed up when entropy refers to the sum of all possible states of a given system?
How do viruses and bacteria get into a cell and corrupt them?,What are the specific receptor sites on the cellular membrane where some viruses attach to gain entry into a host cell?
Does allopatric speciation make subgroups or subspecies?,What event would likely separate two populations of the same species into different evolutionary paths?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,Why do O2 and CO2 have different levels of oxidative power based on their molecular structure?
Does gel electrophoresis work?,What type of analysis are Gel electrophoresis and Polymerase Chain Reaction used for in terms of DNA behavior?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,What is the functional role of the signal sequence in directing the ribosome-complex to dock with the ER?
Don't both have hydrogen bonding?,What type of molecular arrangement allows propan-1-ol molecules to approach each other more closely than those of propan-2-ol?
What does surface area have to do with how much energy it takes for these transfers to occur?,What would be the consequence for diffusion within a cell if its surface area to volume ratio (SA:V) becomes very small as it grows in size?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",At what stage of oxidation does Cadmium tend to lose its 2 valence electrons in order to stabilize?
How would oxygen share the electrons with the two hydrogens?,What type of charge are hydrogen atoms sharing with oxygen in water molecules?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?","What would be the energy consequence if removing both a benzylic hydrogen and a ring hydrogen from the aromatic stabilization, assuming that the latter results in a complete loss of aromaticity?"
How come an increase in temperature increases this combination of states?,What happens to the average kinetic energy of the molecules in a gas when its temperature increases?
Could anything react with anything?,"What are the ""right conditions"" for chemical reactions to occur spontaneously without any added energy?"
Why does flagella is not an organelle?,What significance do multiple functions attributed to the flagellum convey about its importance in the prokaryotic bacteria?
Why assuming that if two electrons are in the same orbital they will be next to each other?,Does referring to electrons as being on opposite sides of an axis in terms of their wave properties fundamentally contradict their inherent property of occupying the entire orbital?
Does the molecule still remains chiral?,What are the criteria for determining whether a molecule is chiral or achiral based on its mirror image?
How to determine the oxidation state of oxygen?,What are the specific circumstances under which the rules for determining oxidation state do not provide helpful information about the chemical properties of certain compounds?
Will it work until all reactants are turned into products?,Does the position of equilibrium of a reaction change if a catalyst is present but the reactants will not all be turned into products in the absence of the catalyst?
Where does evolution occur in nature?,"What drives the filtering process called natural selection in a population, and how do environmental conditions and competition for resources contribute to this process?"
Do the atoms share the electrons (and therefore form a bond)?,What happens to an atom's tendency to fill its valence shell when it gains or donates an electron to attain octet configuration?
How the germ cell can go through mitosis?,What role do the germ cells play in relation to mitosis as they migrate and expand before some of them form sex cells?
