reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,What is the approximate mass of a proton in kilograms?
Is allosteric inhibitor non-competitive or competitive?,What is the location where an allosteric inhibitor binds in a biological reaction?
Why does body make more lactose?,What is the process by which lactose is metabolized when it is present in an organism?
Then why does entropy not mean messy?,What is the sum of all possible states of a given system that describe its disorder?
How do viruses and bacteria get into a cell and corrupt them?,What is the process by which enveloped viruses gain access to the host cell's cytoplasm?
Does allopatric speciation make subgroups or subspecies?,What are the characteristics that distinguish a subspecies from a group of related species in the same genus?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,What is the difference in energy between O2 and CO2 when considering their molecular links?
Does gel electrophoresis work?,What is the main reason why it is often advantageous to have multiple copies of a specific DNA molecule before performing Gel electrophoresis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,What is the typical location of the signal sequence in relation to ribosomes attached to the outer surface of the membrane?
Don't both have hydrogen bonding?,What is the difference in hydrogen bonding between propan-1-ol and propan-2-ol molecules?
What does surface area have to do with how much energy it takes for these transfers to occur?,What is a cell with a larger volume that still has a relatively small surface area compared to its size?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",What is the oxidation state of Cadmium in its valence shell?
How would oxygen share the electrons with the two hydrogens?,What are the differences in charge between a hydrogen atom and an oxygen atom?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",What is the difference in energy when a ring's aromatic stabilization is compromised compared to removing a benzylic hydrogen?
How come an increase in temperature increases this combination of states?,What is the number of micro-states in a gas when its temperature increases?
Could anything react with anything?,What is a chemical reaction that involves two substances reacting spontaneously without any external help or added energy?
Why does flagella is not an organelle?,What is the primary function of Flagellum in prokaryotic bacteria?
Why assuming that if two electrons are in the same orbital they will be next to each other?,What is an orbital in relation to electrons?
Does the molecule still remains chiral?,"What is a molecule that remains unchanged under mirror reflection, but does not exhibit optical activity?"
How to determine the oxidation state of oxygen?,What is true for all elements in Group 1 except their elemental state regarding oxidation states?
Will it work until all reactants are turned into products?,What is the difference between a small amount of catalyst needed for a reaction and the reagent required?
Where does evolution occur in nature?,What is the main mechanism by which evolution takes place in a population?
Do the atoms share the electrons (and therefore form a bond)?,What is the definition of an ionic bond as described in the paragraph?
How the germ cell can go through mitosis?,What are the key stages in the development of germ cells during early embryonic mitosis?
Does the Cl conjugate base hang out by itself?,What is unique about how water molecules interact with a Chloride ion (Cl-) in its aqueous state?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,What is the process by which carbon dioxide spreads from the blood back to the alveoli in the lungs?
Is neutron only the proton which gets kicked out?,What is a neutron?
Someone pl meiosis and mitosis with respect to X chromosome?,"What is the result of meiosis in a male individual where each daughter cell has two haploid X chromosomes, while all cells in his body retain the XY sex chromosome pattern?"
What is that extra H+ doing there on the head of water?,What is the process by which one H+ ion is produced in a water molecule dissociation reaction involving another sugar molecule?
"Do cells 'hunt' for bacterium, or it's an occasion?",What are the chemical signals that attract immune cells towards bacteria in response to an infection?
Could diatomic hydrogen also be formed by an ionic bond?,What is the difference in electronegativity between two hydrogen atoms for an ionic bond to occur?
Why does a positive kJ result end up with energy leaving a system?,What happens when a negative delta thetaHf indicates energy is released during bond formation in a chemical reaction?
How can the oxygen being oxidised?,What is the oxidation state of oxygen in its ionic form?
Would the entire ecosystem collapse?,What would be a good example of a crucial organism in an ecosystem that could lead to collapse if it is not functioning properly?
Why the HIV virus is coming out of the immune cell?,What is specifically unique about how HIV targets immune cells when it infects them?
"Human evolve from apes, so if one mated with a human?",What is the concept of a common ancestor in relation to the shared traits and diversity found in ape populations?
Why doesn't carbon form any ionic bond?,What is the primary reason why Carbon molecules form ionic bonds with other elements?
"Didn't the H+ get randomly picked up by the OH and then later the OH group attached to Carbon gave up its hydrogen to H2O, making it H3O+?",What is the effect of adding another water molecule with a lone pair on a sucrose (sugar) molecule when it forms hydronium ions?
Does the Calvin cycle happen after the light-dependent reactions occurs or is the Calvin cycle independent?,What is the main purpose of the Calvin cycle in relation to light-dependent reactions?
How do the contracting and expanding muscles gets oxygen?,What is the process by which oxygen enters and circulates through the body?
Does the body extract the oxygen from the carbon dioxide?,What percentage of the Earth's atmosphere is oxygen?
Does the oxygen bonded with another oxygen don't count as another oxidation state?,What is the oxidation number of oxygen in hydrogen peroxide?
Why are hydrogen bonds called weak bonds?,What is a hydrogen bond caused by due to regional polarization?
Doesn't that violate Markovnikov's rule that the more substituted C will bond with the more substituted reactant?,What is the difference in addition of HX by a more positive part of Markovnikov's original rule?
How would oxygen share the electrons with the two hydrogens?,What is the difference in charge between a hydrogen atom and an oxygen atom?
"Does the electron go into an energy level 1/100000 higher, or where does the extra energy go?",What is the approximate energy of an electron in a specific excited state if its lifetime can be measured with an uncertainty less than one-fifth of a femtosecond?
Why would osmosis be a form of Passive Transport?,What does osmosis involve in terms of water movement?
How is water supposed to evaporate at 25 degrees Celsius?,What is the relationship between temperature and the state of water at high pressure?
Whats causes a molecule to have potential energy?,What is the reason why potential energy in gases disappears when their intermolecular interactions are reduced to zero?
"Why does a paperclip that is able to sink below the surface, go down to the bottom?",What is the relationship between the density of water at different depths and its molecular structure?
Does anaerobic respiration contribute to metabolic rate?,What is the relationship between anaerobic respiration and increased energy consumption in extreme metabolic activities such as running?
How would people know if it is redox or a regular one?,What is the primary way people can tell that a chemical reaction is a redox reaction based on the presence of charges in the chemical equation?
Does the co-repressor unbind itself from the repressor?,What is the effect of an increase in tryptophan levels on the binding of tryptophan repressor molecules to co-repressors?
Is it possible for the inhibitor to later separate or unbind?,What is an irreversible covalent bond involved in a non-competitive inhibitor of the enzyme binding reaction?
How the exact length of DNA molecules can be determined when it is moving?,What is the approximate size of DNA molecules in a DNA ladder or protein ladder?
Is a non spontaneous reaction always a reverse reaction?,What is a spontaneous reaction?
