reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,What is unique about the charge magnitude of protons and electrons?
Is allosteric inhibitor non-competitive or competitive?,Where does an allosteric inhibitor bind in relation to the active site?
Why does body make more lactose?,What is required for the production of enzymes in the lac operon?
Then why does entropy not mean messy?,What does entropy refer to in relation to a system's state?
How do viruses and bacteria get into a cell and corrupt them?,How do some viruses enter a cell without fusing with their envelope?
Does allopatric speciation make subgroups or subspecies?,What would happen to two populations of the same species that were separated by a geographical event after thousands of years?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,What is the outcome when elemental oxygen and carbon combine?
Does gel electrophoresis work?,Why does it make sense to use Gel electrophoresis after preparing DNA using Polymerase Chain Reaction?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,Where are ribosomes attached relative to the membrane?
Don't both have hydrogen bonding?,Why do propan-1-ol molecules have higher London dispersion forces compared to propan-2-ol?
What does surface area have to do with how much energy it takes for these transfers to occur?,"As a cell grows in size, how does its surface area to volume ratio (SA:V) change?"
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",What is the oxidation number of Cadmium in its atom?
How would oxygen share the electrons with the two hydrogens?,What charge does an oxygen atom have in a hydrogen-oxygen bond?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",What is a consequence of removing a benzylic hydrogen compared to removing a ring hydrogen?
How come an increase in temperature increases this combination of states?,How does an increase in temperature affect the number of micro-states possible for a gas?
Could anything react with anything?,What are some of the conditions that need to be met for a chemical reaction to occur spontaneously?
Why does flagella is not an organelle?,What are some of the functions that flagella perform in prokaryotic bacteria?
Why assuming that if two electrons are in the same orbital they will be next to each other?,What does it mean for electrons to occupy an orbital in terms of their wave properties?
Does the molecule still remains chiral?,Is a molecule's mirror image considered an enantiomer if it is identical but rotated?
How to determine the oxidation state of oxygen?,What is a common exception to rule (4) for hydrogen in its elemental state?
Will it work until all reactants are turned into products?,What effect does a catalyst have on the position of equilibrium in a reaction?
Where does evolution occur in nature?,What is the primary mechanism by which evolution takes place?
Do the atoms share the electrons (and therefore form a bond)?,What type of bond is formed when an atom gains an electron and attains octet configuration?
