reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,At which temperature do electrons and protons balance out in terms of charge magnitude?
Is allosteric inhibitor non-competitive or competitive?,What distinguishes an allosteric inhibitor from a competitive inhibitor in terms of their binding sites?
Why does body make more lactose?,Under what circumstances would the production of enzymes for lactose metabolism be triggered by the presence of lactose in the lac operon?
Then why does entropy not mean messy?,What exactly constitutes disorder when considering the sum of all possible states of a system in terms of entropy?
How do viruses and bacteria get into a cell and corrupt them?,What are the specific requirements for a virus to successfully inject its DNA or RNA into a host cell once it has attached to the membrane?
Does allopatric speciation make subgroups or subspecies?,What distinguishes a subspecies from another population of the same species that has undergone significant geographical separation?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,What role do links between molecules play in determining their oxidative power?
Does gel electrophoresis work?,"What are the advantages of having many copies of DNA for Gel electrophoresis, aside from making them easier to see?"
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,Why do proteins produced by ER-bound ribosomes need to be directed to dock with the ER after being initiated within the cytosol?
Don't both have hydrogen bonding?,What physical property enables molecules like propan-1-ol to approach each other more closely than those in propan-2-ol due to their linear shape?
What does surface area have to do with how much energy it takes for these transfers to occur?,What happens to the rate of diffusion through a cell as its surface area to volume ratio (SA:V) decreases?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",What would happen if an atom of Cadmium were to lose more than 2 electrons in its valence shell?
How would oxygen share the electrons with the two hydrogens?,What is the underlying principle allowing hydrogen atoms to share charges with oxygen in a way that results in an overall negative charge on the oxygen atom?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",What effect does removing a benzylic hydrogen atom versus a ring hydrogen atom have on the energy required to remove a hydrogen atom in an aromatic compound?
How come an increase in temperature increases this combination of states?,What relationship exists between the average kinetic energy of molecules in a gas and their velocity range when temperature is increased?
Could anything react with anything?,"What are the ""right conditions"" necessary for reactions between substances to occur spontaneously without any outside help?"
Why does flagella is not an organelle?,What additional functions besides locomotion and excretion do Flagella perform in prokaryotic bacteria?
Why assuming that if two electrons are in the same orbital they will be next to each other?,What are the wave properties of electrons that make it meaningless to refer to them as being on opposite sides of an axis?
Does the molecule still remains chiral?,What defines a molecule as chiral versus achiral based on its mirror image?
How to determine the oxidation state of oxygen?,"How do the rules for determining oxidation states handle a compound like LiH, where hydrogen has an oxidation state of −1 despite having a typical +1 oxidation state in its elemental state?"
Will it work until all reactants are turned into products?,"Can a catalyst change the outcome of a reaction where the reactants are not consumed to completion, even in the presence of the catalyst?"
Where does evolution occur in nature?,What are the environmental conditions necessary for natural selection to take place in a population?
Do the atoms share the electrons (and therefore form a bond)?,"What is the driving force behind the complete transfer of electrons in an ionic bond, and how does this phenomenon relate to the tendency of atoms to fill their valence shells?"
How the germ cell can go through mitosis?,What role do somatic cells play in relation to the migration and expansion of germ cells during embryonic development?
Does the Cl conjugate base hang out by itself?,What is being attracted by the Cl- ions in water molecules that are not bonded with them?
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,What would be the result if the CO2 in the blood were to spread to the alveoli at the same rate as O2 from the alveoli spreads to the blood?
