reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,What implications arise from the fact that electrons and protons have the same charge magnitude in terms of their balancing effect on each other within an atom?
Is allosteric inhibitor non-competitive or competitive?,What specific role do allosteric inhibitors play in relation to the active site of an enzyme?
Why does body make more lactose?,What would happen if lactose were absent in the cell that is trying to produce the enzymes required for its metabolism?
Then why does entropy not mean messy?,Can all possible states of a given system be considered equally likely?
How do viruses and bacteria get into a cell and corrupt them?,What mechanism do enveloped viruses use to enter the host cell?
Does allopatric speciation make subgroups or subspecies?,What specific factors would lead to two populations of the same species diverging into different evolutionary paths after being separated by a geographical event?
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,What role do the differences in links between O2 and CO2 molecules play in their respective oxidative powers?
Does gel electrophoresis work?,What role do multiple copies of DNA play in analyzing its structure using Gel electrophoresis?
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,What role do signal sequences play in directing proteins produced by ER-bound ribosomes to dock with the endoplasmic reticulum?
Don't both have hydrogen bonding?,What role do the differences in molecular shape play in determining the strength of London dispersion forces between propan-1-ol and propan-2-ol?
What does surface area have to do with how much energy it takes for these transfers to occur?,What is the minimum change that needs to occur in a cell for its diffusion efficiency to increase despite an overall increase in volume?
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?",What implications would having 2 electrons in its valence shell have for Cadmium's chemical properties?
How would oxygen share the electrons with the two hydrogens?,How do the charges on the oxygen atom contribute to its interactions with the surrounding hydrogen atoms?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?",What is the implication of aromatic stabilization on the energy required to remove a ring hydrogen compared to a benzylic hydrogen?
How come an increase in temperature increases this combination of states?,How does the concept of micro-states being proportional to entropy relate to the definition of temperature in the context of gas molecules?
Could anything react with anything?,What are some characteristics of substances that would make it hard to meet the conditions for a spontaneous reaction?
Why does flagella is not an organelle?,What are the primary functions that contribute to the further importance of flagella in prokaryotic bacteria?
Why assuming that if two electrons are in the same orbital they will be next to each other?,What implications arise from considering electrons as occupying entire orbital rather than being localized at specific points?
Does the molecule still remains chiral?,What characteristics must a molecule exhibit in order for its mirror image to be considered an enantiomer?
How to determine the oxidation state of oxygen?,What happens to the oxidation state of oxygen when it is combined with fluorine in a compound?
Will it work until all reactants are turned into products?,What effect does a catalyst have on a reaction that does not go to completion even in the absence of the catalyst?
Where does evolution occur in nature?,What role do environmental conditions play in determining which traits are filtered out by natural selection?
Do the atoms share the electrons (and therefore form a bond)?,What implications arise from the tendency of atoms to form ionic bonds due to the complete transfer of electrons?
How the germ cell can go through mitosis?,"What advantage, if any, does the ability of germ cells to migrate and expand via mitosis provide in their development into sex cells?"
