reference,prediction
Do electronegativity and elektrodepotential both describe to what extent an atom can attract electrons?,What is the relationship between electronegativity and the electropotential of an atom?
How lithium behaves as a strong reducing agent?,"""How does lithium's high ionization potential relate to its strong reducing agent behavior?"""
How come Li has more reduction potential than Na or K?,How does an increased atomic radius affect the attraction to valency electrons in reduction?
Does more reactive imply a greater reducing potential?,"""Does a larger atomic radius lead to weaker attraction of electrons by the nucleus?"""
How come Li has more reduction potential than Na or K?,What is the relationship between lithium's hydration energy and its reducing agent strength?
Does more reactive imply a greater reducing potential?,What is the relationship between lithium's hydration energy and its behavior as a reducing agent?
Why do lone pairs of electrons form hybrid orbitals?,"""How do hybrid orbitals affect the bond angle compared to un-hybridized lone pair regions?"""
Why Nitrogen needs sp3 Hybridization to form ammonia?,Does hybridization explain why all N-H bond lengths are equal in ammonia?
Why lone pairs of electrons have their own hybridized orbitals?,Does hybridization of an orbital lower the total energy of a molecule?
Why oxygen atoms in the molecular formula of water has 4 more atoms that can be used for other bonds?,"""What is the significance of oxygen's lone pairs in forming a water molecule?"""
Does one classify the H2O molecules as solid or liquid?,How does the addition of heat affect the phase transition diagram for water?
Does one classify the H2O molecules as solid or liquid?,What happens to the temperature when all ice has melted and water is liquid?
Is there a limit to that the steam will get hotter?,"""How does a gradual increase in temperature affect the decomposition rate of water?"""
Does applying more heat not change the average kinetic energy?,What is the relationship between superfluidity and the apparent viscosity of zero?
Is a non spontaneous reaction always a reverse reaction?,What does a negative ΔG0 value imply about a chemical reaction's spontaneity direction?
What is the meaning of the equilibrium constant?,What is implied when K > 1 in a chemical equilibrium reaction?
Why an ether and an alcohol can be considered structural isomers but these molecules cannot?,What is the effect on molecular structure when changing from an ether to an alcohol?
Why is there so much more water on Earth than ammonia even though nitrogen is more abundant?,"""What is the primary distinction between nitrogen and oxygen in terms of covalent bonding?"""
How to calculate the frequency of the fire?,What frequencies from electromagnetic fields correspond to element-specific orbital energy transitions?
How will the viscosity of liquid be affected by increase in temperature?,Does an increase in kinetic energy imply a decrease in viscosity?
How will the viscosity of liquid be affected by increase in temperature?,What is the effect of increasing intermolecular forces on viscosity in liquids?
What gives an electron a negative charge and what gives a proton a positive charge?,What is the natural property that causes a proton's path to be deflected in a magnetic field?
What gives an electron a negative charge and what gives a proton a positive charge?,"What happens to an electron's charge when it collides with its antiparticle, a positron?"
Why do they always say 'atomic weight' on the periodic table?,What is the relationship between atomic mass and the use of weighted units in chemistry?
Why do strong acid and bases give 100% ionization?,"""How does a strong acid's favoring of dissociation relate to its acidity constant?"""
what is the difference if atomic weight and atomic mass are not the same thing?,What is the difference between atomic mass and molar mass in terms of units?
Is surface tension responsible for the pain felt by a person?,Do hydrogen bonds play a more significant role than surface tension in exerting force on impact?
Is surface tension responsible for the pain felt by a person?,"""How does the displacement of a water mass relate to the impulse delivered?"""
Why didn't only one drop leak out?,"""How does gravity overcome surface tension to cause molecular rearrangement?"""
What was happening molecularly to the surface of the water?,How does cohesion force contribute to the weakening of hydrogen bonds in water?
How surface tension applies to the shape of water droplet?,What is the implication of surface tension on water droplet shape formation?
Why don't the oxygen atoms in the air bond to the water molecules on the surface and pull on water molecules?,"""How does solubility affect oxygen's ability to diffuse into water under different conditions?"""
How does water evaporate?,What is the effect of kinetic energy on the transition of water molecules from air to water?
What happens to the water at the bottom of the container?,"""How does surface tension influence the density of water at different depths?"""
"Why does a paperclip that is able to sink below the surface, go down to the bottom?","""Why does the density at the water surface, due to surface tension, allow a paper clip to sink?"""
How does the brain get the oxygen and glucose it needs?,"""How does the presence of glucose transporters affect glucose permeation through the endothelial cells?"""
Why is the brain included in central nervous system?,What is the primary function of the central nervous system compared to its position in the body?
Are the cranial nerves part of the CNS and the spinal nerves part of the PNS?,What is the primary function of efferent cranial nerves in relation to motor control?
Why the sensory neurons in the ganglia have axons that carry impulses towards the soma instead of dendrites that carry impulses towards the soma?,"""What is the primary function of the dendrite in relation to axon location?"""
What does surface area have to do with how much energy it takes for these transfers to occur?,What is the effect on diffusion efficiency when SA:V ratio decreases?
How to know it is not there without fulfilling the octet rule?,What mechanism allows oxygen to achieve a stable octet with fewer valence electrons?
How does oxygen get a triple bond with carbon?,What is the mechanism behind the formation of a co-ordinate covalent bond in CO?
How does oxygen get a triple bond with carbon?,How does the presence of a lone pair affect C-O bond order in CO?
How would dogs and horses be listed?,"What is the relationship between the common ancestor of horses and dogs, and how recent was it?"
How would dogs and horses be listed?,"""How does the presence of a vertebral column relate to eutherian mammalian classification?"""
How are they classified on the map?,Does the inability to interbreed imply a classification as different species?
Are they consider a different species or a subspecies?,Does the inability to interbreed imply that two populations are different species?
Do we also breathe in the nitrogen in the atmosphere and do we take in this nitrogen?,"""How does nitrogen-fixing bacteria convert N2 into usable forms for heterotrophs consumption?"""
Would air particles perform a tiny sonic boom?,What is required for sonic boom to occur if particles can travel faster than sound?
Would air particles perform a tiny sonic boom?,What is the causal relationship between particle compression and a sonic boom formation?
Would air particles perform a tiny sonic boom?,Would an air particle's massive density generate a compression to produce a sonic boom?
Would air particles perform a tiny sonic boom?,Why does a shock wave require air particles moving faster than the speed of sound?
Does it have to consider the direction of the molecules or the absolute value?,Does kinetic energy cancel out when two objects move in opposite directions?
Why do things burn or explode?,What role does increasing molecular speed play in reaching the ignition point?
